Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (PKR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
17500755,Customer_1,Sapphire,10/26/2023,29695,Low,Card Not Present,Punjab,Visa,Bank Alfalah,0,89,Utilities,Rawalpindi
15316210,Customer_2,Bykea,3/22/2024,21199,High,Identity Theft,Punjab,UnionPay,MCB,0,80,Utilities,Faisalabad
78882238,Customer_3,ChenOne,3/13/2024,9428,Low,Phishing,Punjab,PayPak,Meezan Bank,0,5,Electronics,Faisalabad
23642422,Customer_4,Sapphire,6/23/2023,30678,Low,Phishing,Punjab,Mastercard,Bank Alfalah,0,76,Fashion,Rawalpindi
72665080,Customer_5,Chase Up,11/5/2023,38393,High,Identity Theft,Punjab,Visa,MCB,0,68,Utilities,Lahore
71881892,Customer_6,ChenOne,11/6/2023,46426,Low,Phishing,Punjab,UnionPay,Meezan Bank,0,75,Transportation,Rawalpindi
52817804,Customer_7,Servis,1/1/2024,36220,High,Phishing,KPK,Visa,Meezan Bank,0,31,Transportation,Peshawar
87997443,Customer_8,Al-Fatah,2/5/2024,44095,Low,Identity Theft,Punjab,UnionPay,Bank Alfalah,0,93,Transportation,Faisalabad
65122568,Customer_9,Al-Fatah,10/4/2024,25954,Low,Card Not Present,Punjab,UnionPay,NBP,0,11,Electronics,Multan
43084472,Customer_10,Sapphire,12/25/2023,20811,Medium,Identity Theft,KPK,Visa,UBL,0,72,Transportation,Peshawar
39503484,Customer_11,Hyperstar,10/26/2024,25614,Medium,Phishing,Punjab,UnionPay,MCB,0,17,Groceries,Rawalpindi
45118667,Customer_12,Al-Fatah,1/8/2024,14904,Medium,Identity Theft,Sindh,PayPak,UBL,0,14,Fashion,Karachi
41626984,Customer_13,Metro Shoes,4/10/2023,18624,Medium,Identity Theft,Punjab,UnionPay,HBL,0,13,Fashion,Rawalpindi
94535632,Customer_14,Servis,6/16/2024,11368,Medium,Card Not Present,Sindh,PayPak,Meezan Bank,0,71,Fashion,Karachi
27204866,Customer_15,TCS Express,12/17/2024,21103,Low,Phishing,Sindh,UnionPay,MCB,0,93,Fashion,Karachi
63435983,Customer_16,Servis,3/17/2024,46282,Low,Card Skimming,Punjab,PayPak,MCB,0,86,Fashion,Multan
72245735,Customer_17,FoodPanda,5/18/2023,29576,High,Phishing,Islamabad Capital Territory,Mastercard,UBL,0,60,Electronics,Islamabad
25183956,Customer_18,FoodPanda,10/14/2024,14603,High,Card Not Present,Balochistan,Visa,Allied Bank,0,57,Transportation,Quetta
87241697,Customer_19,ChenOne,7/24/2024,3791,Medium,Identity Theft,Punjab,UnionPay,Bank Alfalah,0,74,E-commerce,Faisalabad
54150243,Customer_20,Chase Up,9/15/2024,22823,Medium,Phishing,Balochistan,PayPak,UBL,0,85,Groceries,Quetta
73972710,Customer_21,Daraz,7/8/2023,16506,Medium,Phishing,Islamabad Capital Territory,Mastercard,Allied Bank,0,20,Utilities,Islamabad
31924159,Customer_22,FoodPanda,12/7/2023,32210,High,Identity Theft,Punjab,Mastercard,Bank Alfalah,0,69,Fashion,Rawalpindi
78002558,Customer_23,Al-Fatah,9/1/2023,30124,High,Card Skimming,Sindh,PayPak,Meezan Bank,0,47,E-commerce,Karachi
45443157,Customer_24,Bykea,2/12/2023,42130,High,Card Not Present,Punjab,PayPak,Meezan Bank,0,98,Groceries,Rawalpindi
95547815,Customer_25,FoodPanda,9/20/2024,30858,Low,Card Skimming,Islamabad Capital Territory,PayPak,Meezan Bank,0,70,Groceries,Islamabad
60292662,Customer_26,Hyperstar,4/28/2024,40547,Low,Identity Theft,KPK,PayPak,Meezan Bank,0,3,Groceries,Peshawar
89785739,Customer_27,Khaadi,11/26/2023,45395,Medium,Phishing,Punjab,Visa,NBP,0,95,Utilities,Rawalpindi
87230077,Customer_28,FoodPanda,8/23/2024,9380,Medium,Card Skimming,Balochistan,UnionPay,Meezan Bank,0,79,Fashion,Quetta
64218287,Customer_29,Al-Fatah,1/2/2024,40743,Low,Identity Theft,Punjab,UnionPay,Bank Alfalah,1,36,Groceries,Multan
28919712,Customer_30,Al-Fatah,12/17/2024,27618,Low,Phishing,Punjab,Mastercard,NBP,0,11,Fashion,Multan
59121005,Customer_31,Bykea,4/21/2023,24362,High,Phishing,Balochistan,UnionPay,HBL,0,31,Transportation,Quetta
32441341,Customer_32,Daraz,7/20/2023,41828,Low,Card Not Present,Sindh,PayPak,MCB,0,36,Transportation,Karachi
30296427,Customer_33,Khaadi,8/12/2023,46303,High,Phishing,Punjab,PayPak,Bank Alfalah,0,70,Groceries,Faisalabad
38087051,Customer_34,Daraz,1/5/2024,48654,Medium,Card Not Present,Punjab,PayPak,HBL,0,17,Utilities,Lahore
34469800,Customer_35,FoodPanda,2/17/2023,19271,Medium,Identity Theft,Islamabad Capital Territory,Visa,NBP,0,46,Transportation,Islamabad
99336491,Customer_36,FoodPanda,2/25/2024,10519,Medium,Card Not Present,Punjab,PayPak,Meezan Bank,0,64,Fashion,Rawalpindi
17300205,Customer_37,FoodPanda,11/12/2023,30794,Low,Identity Theft,Balochistan,PayPak,HBL,0,15,Transportation,Quetta
67732927,Customer_38,Hyperstar,8/16/2023,5041,Low,Phishing,Islamabad Capital Territory,Mastercard,NBP,0,26,E-commerce,Islamabad
74024018,Customer_39,ChenOne,4/29/2024,5507,High,Phishing,Balochistan,UnionPay,UBL,0,47,Fashion,Quetta
12593084,Customer_40,Servis,8/15/2023,6922,High,Identity Theft,Islamabad Capital Territory,Mastercard,Bank Alfalah,0,77,Fashion,Islamabad
71624324,Customer_41,Hyperstar,12/8/2023,40210,High,Card Skimming,Punjab,Mastercard,Bank Alfalah,0,42,Utilities,Multan
86684960,Customer_42,Bykea,9/24/2024,1062,High,Card Skimming,Punjab,PayPak,HBL,0,27,Electronics,Lahore
45833733,Customer_43,Servis,9/12/2023,29498,Medium,Card Skimming,Punjab,Mastercard,Allied Bank,0,34,E-commerce,Rawalpindi
77962299,Customer_44,Chase Up,7/3/2023,26551,High,Card Not Present,Punjab,PayPak,HBL,0,95,E-commerce,Rawalpindi
99938643,Customer_45,Chase Up,2/23/2024,11179,Low,Identity Theft,KPK,UnionPay,UBL,0,88,Utilities,Peshawar
35011272,Customer_46,Chase Up,12/3/2023,17063,Medium,Phishing,Sindh,PayPak,HBL,0,52,E-commerce,Karachi
24316438,Customer_47,Bykea,4/24/2024,6320,Low,Card Not Present,Punjab,Mastercard,Allied Bank,0,63,Groceries,Multan
60297891,Customer_48,ChenOne,2/10/2024,12257,Medium,Phishing,Sindh,UnionPay,NBP,0,45,Transportation,Karachi
86408355,Customer_49,Hyperstar,10/20/2024,12401,High,Identity Theft,Sindh,Visa,Allied Bank,0,91,Groceries,Karachi
40335746,Customer_50,Khaadi,12/10/2023,25473,High,Phishing,KPK,Mastercard,MCB,0,9,E-commerce,Peshawar
96164326,Customer_51,Hyperstar,3/3/2023,10778,High,Phishing,Balochistan,Visa,NBP,0,70,Electronics,Quetta
19202592,Customer_52,Daraz,7/22/2023,13641,Medium,Identity Theft,Balochistan,PayPak,HBL,0,48,Fashion,Quetta
44495599,Customer_53,FoodPanda,8/18/2024,13889,Low,Phishing,Punjab,UnionPay,Allied Bank,0,27,Utilities,Rawalpindi
42393644,Customer_54,Servis,1/22/2023,41681,Low,Phishing,Punjab,Mastercard,NBP,0,51,Fashion,Lahore
16163575,Customer_55,Hyperstar,2/8/2023,5089,High,Identity Theft,Punjab,Mastercard,HBL,0,73,Utilities,Faisalabad
44452134,Customer_56,Hyperstar,12/8/2023,48080,High,Phishing,Islamabad Capital Territory,Visa,Bank Alfalah,0,49,Fashion,Islamabad
19493051,Customer_57,TCS Express,6/4/2023,1724,High,Phishing,KPK,Visa,MCB,0,83,Transportation,Peshawar
